"S.No","Product ID","Product / Dish Name","Outlet / Type","Category Name","Category Slug","Price (₹)","MRP (₹)","Discount (%)","Unit","Stock","Storefront Status","Menu Tags","Restaurant ID","Category ID"
"61","cmqi41wcm000004jpiod6g5ko","Spring Roll","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","50","50","0","","99999","ACTIVE (VISIBLE)","hot-bite, snacks, momos, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"62","cmqhzo083000204ic1ujhimgj","Strawberry Shake","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","300 ml","999","ACTIVE (VISIBLE)","shakes, shake, milkshake, milkshakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"63","cmqhtmaqg000004ld19thbri9","Sweet Corn Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","129","139","7","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"64","cmqhtugvz000004jmp6yuo0xi","Tandoori Paneer Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","149","159","6","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"65","cmqht3pis000004jmml4tir0s","Tomato Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","109","119","8","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"66","cmqhzlgby000004icf92dj6ua","Vanilla Shake","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","300 ml","999","ACTIVE (VISIBLE)","shakes, shake, milkshake, milkshakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"67","cmqhv1hej000004ibh5q6wzgg","Veg Burger","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","40","40","0","","99999","ACTIVE (VISIBLE)","burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"68","cmqj7g0ms000004jvs6xbmk8f","Veg Frankie Roll","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","70","70","0","","99999","ACTIVE (VISIBLE)","frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"69","cmqi3vz1u000004l4spawcpbv","Veg Fried Momos","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","50","50","0","8 pcs","999","ACTIVE (VISIBLE)","hot-bite, snacks, momos, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"70","cmqjd9nvb000004jsfg3ewbza","Veg Fried Rice","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","","99999","ACTIVE (VISIBLE)","rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"71","cmqhvmm7b000004jxhu7strzq","Veg Masala Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","70","70","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"72","cmqi1tksh000004icq037c12i","Veg Noodles","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","60","60","0","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"73","cmqhuctgp000004joxvh4wa9e","Veg Special Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","169","179","6","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"74","cmqhuj9qq000004jod1cke6xa","Veggie Delite Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","189","199","5","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"75","cmqhuaceu000004ju23hbam9a","Veggie Overloaded Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","165","169","2","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"76","cmqhufwcw000104joyujs402c","Veggie Paneer Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","189","199","5","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"77","cmqhypc4i000104juf55gz7m2","Virgin Mojito","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","300 ml","999","ACTIVE (VISIBLE)","mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
